date,open,high,low,close,volume
2022-01-03,42.4,43.0,42.1,42.75,1995747
2022-01-04,43.0,43.0,42.0,42.1,1610933
2022-01-05,42.1,42.35,41.3,41.45,1027154
2022-01-06,41.15,42.1,40.8,41.7,938582
2022-01-07,41.75,41.8,40.0,40.3,2032933
2022-01-10,40.25,41.1,39.75,41.0,946912
2022-01-11,41.0,41.2,40.75,41.05,1162220
2022-01-12,41.5,42.55,40.8,41.05,2757292
2022-01-13,41.5,42.15,41.3,41.45,1368191
2022-01-14,41.85,41.85,40.25,40.75,1217839
2022-01-17,40.85,41.2,40.5,41.15,609095
2022-01-18,41.3,42.2,41.15,41.35,1198803
2022-01-19,40.9,41.4,40.9,41.15,419157
2022-01-20,41.35,41.35,40.5,41.0,784140
2022-01-21,40.6,40.95,40.0,40.05,1175866
2022-01-24,39.25,39.9,38.1,39.05,1575394
2022-01-25,38.85,39.0,38.0,38.05,1564336
2022-01-26,38.0,38.35,37.8,38.1,704555
2022-02-07,38.25,39.2,38.25,38.9,753921
2022-02-08,39.1,39.25,38.55,39.0,1132387
2022-02-09,39.2,39.85,39.15,39.85,941216
2022-02-10,40.0,40.0,39.1,39.35,792801
2022-02-11,39.25,39.55,38.9,39.15,567468
2022-02-14,38.8,38.8,38.2,38.5,609909
2022-02-15,38.55,39.3,38.5,38.65,529098
2022-02-16,39.0,39.3,38.85,39.1,360748
2022-02-17,39.3,39.7,39.25,39.4,1131634
2022-02-18,38.9,39.75,38.9,39.45,476136
2022-02-21,39.95,40.2,39.8,39.85,905416
2022-02-22,39.6,39.75,38.8,39.0,889379
2022-02-23,39.15,39.65,39.0,39.45,354761
2022-02-24,39.2,40.5,39.05,39.15,1880013
2022-02-25,39.0,39.5,38.25,38.6,3422262
2022-03-01,38.8,38.9,38.5,38.8,920174
2022-03-02,38.7,38.95,38.3,38.7,559212
2022-03-03,38.9,39.05,38.65,38.75,564235
2022-03-04,38.75,38.8,38.3,38.3,744253
2022-03-07,38.25,38.25,36.8,37.0,1484449
2022-03-08,36.7,37.0,35.8,35.9,1832984
2022-03-09,36.15,36.35,35.85,36.0,877433
2022-03-10,37.0,37.1,36.65,36.7,733475
2022-03-11,36.8,36.85,36.15,36.4,616929
2022-03-14,36.5,36.85,36.4,36.6,413218
2022-03-15,36.6,36.6,35.5,35.55,1397439
2022-03-16,35.85,35.95,35.3,35.4,874266
2022-03-17,36.05,36.45,35.95,36.3,622634
2022-03-18,36.4,36.7,36.3,36.65,405465
2022-03-21,36.7,37.0,36.7,36.9,387713
2022-03-22,37.0,37.25,36.75,37.25,470454
2022-03-23,37.35,37.7,37.0,37.2,635260
2022-03-24,37.05,37.4,37.0,37.35,365735
2022-03-25,37.4,37.5,37.0,37.2,326870
2022-03-28,37.1,37.1,36.45,36.95,370534
2022-03-29,37.2,37.2,36.7,36.8,403327
2022-03-30,37.0,37.15,36.85,37.1,333748
2022-03-31,37.2,37.2,36.4,36.6,680438
2022-04-01,36.4,36.45,36.1,36.4,302276
2022-04-06,36.6,36.6,36.0,36.1,408360
2022-04-07,36.1,36.2,35.2,35.2,1101182
2022-04-08,35.2,35.55,35.15,35.55,382051
2022-04-11,35.4,35.6,34.15,34.15,1299471
2022-04-12,33.5,34.45,33.4,33.95,680031
