date,open,high,low,close,volume,sma5,sma10,sma20,sma60,sma120,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,stoch_k,stoch_d,atr14,roc12
2023-02-02,37.0,38.0,36.0,38.0,54859229,,,,,,,38.0,38.0,,0.0,0.0,0.0,,,,,,2.0,
2023-02-03,38.3,38.8,37.5,38.3,36747932,,,,,,,38.04615384615384,38.02222222222222,100.0,0.023931623931623847,0.00478632478632477,0.019145299145299076,,,,,,1.95,
2023-02-06,38.05,38.8,36.9,38.35,40293827,,,,,,,38.09289940828402,38.04650205761317,100.0,0.04639735067085127,0.013108529963230071,0.033288820707621194,,,,,,1.9464285714285714,
2023-02-07,36.2,38.0,35.2,37.85,61366239,,,,,,,38.05553026854802,38.03194634964182,88.00342759211645,0.02358391890619771,0.015203607751823599,0.00838031115437411,,,,,,2.0323979591836734,
2023-02-08,37.9,38.4,36.6,36.85,38438237,37.87,,,,,,37.870064073386786,37.94439476818687,69.93347650725455,-0.07433069480008214,-0.0027032527585575485,-0.07162744204152459,,,,,,2.015798104956268,
2023-02-09,37.2,39.7,37.1,38.75,63931944,38.019999999999996,,,,,,38.00543883132728,38.00406922980265,78.8285029294519,0.0013696015246296156,-0.0018886819019201158,0.003258283426549731,,,,,,2.075383954602249,
2023-02-10,39.0,39.45,37.8,37.8,35060131,37.92,,,,,,37.97383285727693,37.98895299055801,67.99657518450822,-0.015120133281079973,-0.004534972177752087,-0.010585161103327885,,,,,,2.0449993864163742,
2023-02-13,37.8,38.05,37.3,37.4,12997793,37.73,,,,,,37.88555087923433,37.94532684310927,64.0083456296061,-0.059775963874940885,-0.015583170517189849,-0.04419279335775104,,,,,,1.9524994302437761,
2023-02-14,37.75,37.95,36.7,36.8,14370906,37.519999999999996,,,,,,37.718543051659815,37.860487817693766,58.468577599713136,-0.14194476603395145,-0.04085548962054217,-0.10108927641340928,,,,,,1.902320899512078,
2023-02-15,36.95,37.8,36.9,36.95,12779453,37.54,37.705,,,,,37.60030565909677,37.79304427564237,59.41427666486192,-0.1927386165456042,-0.07123211500555458,-0.12150650154004962,,,,,,1.8378694066897867,
2023-02-16,37.1,37.65,37.0,37.45,10896831,37.28,37.65,,,,,37.57718171154342,37.76763358855775,62.48110601143121,-0.19045187701433264,-0.0950760674073102,-0.09537580960702244,,,,,,1.7565930204976588,
2023-02-17,37.15,37.9,37.1,37.85,10600475,37.29,37.605000000000004,,,,,37.61915375592135,37.77373480422014,64.77434872152746,-0.1545810482987875,-0.10697706358560566,-0.047603984713181835,,,,,,1.6882649476049687,
2023-02-20,38.3,38.7,37.65,38.0,16578547,37.410000000000004,37.57000000000001,,,,,37.6777454857796,37.790495189092724,65.62291352050421,-0.11274970331312062,-0.10813159153110866,-0.004618111782011963,,,,,,1.6426745942046141,0.0
2023-02-21,38.2,41.5,38.0,41.35,65933011,38.32000000000001,37.92,,,,,38.24270771873659,38.05416221212289,78.23382226494522,0.18854550661369984,-0.04879617190214696,0.2373416785158468,,,,97.61904761904765,,1.7753406946185704,7.963446475195823
2023-02-22,40.25,40.4,39.15,39.25,41526669,38.78000000000001,38.16,,,,,38.397675762007886,38.142742789002675,62.70499597736894,0.2549329730052108,0.011949657079324586,0.2429833159258862,,,,64.28571428571426,,1.8056735021458157,2.346805736636237
2023-02-23,39.5,39.7,38.7,38.9,21799493,39.07,38.175,,,,,38.47495641400667,38.19883591574322,60.54786579569748,0.2761204982634524,0.06478382531615015,0.21133667294730227,,,,58.730158730158685,73.54497354497353,1.748125394849686,2.774108322324964
2023-02-24,38.6,38.8,37.85,38.0,20476358,39.1,38.19500000000001,,,,,38.40188619646718,38.18410732939187,55.281476122306685,0.21777886707531025,0.09538283366798218,0.12239603340732806,,,,44.44444444444442,55.82010582010579,1.6982592952175655,3.1207598371777445
2023-03-01,38.35,40.25,38.15,39.7,33296238,39.440000000000005,38.425,,,,,38.601596012395305,38.296395675362845,62.00414167281575,0.30520033703245986,0.13734633434087773,0.16785400269158213,,,,63.26530612244902,55.47996976568404,1.737669345559168,2.4516129032258194
2023-03-02,39.4,40.05,39.15,39.3,15879945,39.03,38.675000000000004,,,,,38.709042779719105,38.37073673644708,59.72886576896599,0.33830604327202707,0.1775382761271076,0.16076776714491947,,,,54.16666666666658,53.95880574452001,1.6778358208763704,3.9682539682539764
2023-03-03,39.5,39.95,39.1,39.15,13500472,39.01,38.894999999999996,38.3,,,,38.77688235207001,38.4284599411547,58.85664817162848,0.3484224109153118,0.21171510308474845,0.13670730783056334,38.3,40.44872054953639,36.151279450463605,51.04166666666661,56.15787981859407,1.6187046908137728,4.679144385026746
2023-03-06,39.8,41.9,39.55,40.95,55225698,39.42,39.245,38.447500000000005,,,,39.11120814405924,38.61524068625435,65.38838110627935,0.4959674578048876,0.2685655740287763,0.2274018837761113,38.447500000000005,40.87988052121784,36.01511947878217,81.7307692307693,62.31303418803416,1.699511498612789,11.277173913043503
2023-03-07,41.3,42.0,40.9,41.25,34631791,40.07000000000001,39.584999999999994,38.595000000000006,,,,39.440253044973204,38.81040804282811,66.34730047455233,0.6298450021450961,0.3408214596520403,0.2890235424930558,38.595000000000006,41.314540402347426,35.875459597652586,85.84905660377358,72.8738308337365,1.6566892487118756,11.637347767253026
2023-03-08,41.05,43.45,40.5,42.6,50913494,40.65,40.045,38.8075,,,,39.92636796113117,39.09111855817417,70.33078739355621,0.8352494029569968,0.4397070483130316,0.3955423546439652,38.8075,42.034150740318815,35.58084925968118,87.02290076335876,84.86757553263386,1.749068588089599,13.751668891855795
2023-03-09,41.3,42.3,40.3,41.0,45143083,40.99,40.010000000000005,38.964999999999996,,,,40.09154212095714,39.23251718349461,61.09968891469628,0.8590249374625358,0.5235706261429325,0.33545431131960335,38.964999999999996,42.29518017530582,35.63481982469417,62.01550387596897,78.2958204143671,1.7884208317974852,8.322324966974893
2023-03-10,40.3,40.8,39.35,39.6,23864817,41.08,40.045,39.1025,,,,40.015920256194505,39.25973813286538,54.37461811653653,0.7561821233291255,0.5700929255801711,0.18608919774895438,39.1025,42.29631824780308,35.90868175219692,39.370078740157474,62.802827793161725,1.7785336295262362,4.210526315789487
2023-03-13,39.35,40.65,38.8,40.4,22214826,40.97,40.195,39.184999999999995,,,,40.0750094475492,39.344201974875354,57.26894832825168,0.7308074726738454,0.602235834998906,0.1285716376749394,39.184999999999995,42.42307041307009,35.9469295869299,47.41379310344824,49.5997919065249,1.7836383702743623,-2.297460701330112
2023-03-14,40.15,41.15,40.05,40.45,17481930,40.81,40.44,39.3175,,,,40.1327003017724,39.4261129396994,57.45062511918873,0.7065873620730017,0.6231061404137251,0.08348122165927652,39.3175,42.53483973959853,36.10016026040147,46.42857142857144,44.40414775739239,1.734807058111908,3.0573248407643305
2023-03-15,41.2,41.5,40.65,40.65,20919884,40.42,40.535000000000004,39.480000000000004,,,,40.21228487073049,39.51677124046241,58.21588985470695,0.6955136302680813,0.6375876383845964,0.057925991883484906,39.480000000000004,42.62092343109474,36.33907656890527,49.999999999999936,47.947454844006536,1.6858922682467714,4.498714652956304
2023-03-16,40.4,41.25,39.7,40.3,15425807,40.279999999999994,40.635,39.655,,,,40.22577950600272,39.57478818561334,56.30732830495716,0.6509913203893802,0.6402683747855532,0.010722945603827028,39.655,42.560322701525585,36.74967729847442,43.749999999999915,46.726190476190425,1.6761856776577162,6.052631578947354
2023-03-17,40.8,41.35,39.8,40.2,16794351,40.4,40.739999999999995,39.8175,,,,40.22181342815615,39.62110017186421,55.74500353233786,0.6007132562919466,0.6323573510868319,-0.03164409479488528,39.8175,42.450231471305024,37.18476852869498,41.96428571428573,45.23809523809519,1.6671724149678797,1.2594458438287104
2023-03-20,39.9,40.15,39.2,40.0,13743570,40.32,40.645,39.945,,,,40.187688285362896,39.649166825800194,54.57118659629324,0.5385214595627019,0.6135901727820059,-0.07506871321930397,39.945,42.34331190632076,37.54668809367924,34.90566037735849,40.20664869721471,1.619517242470174,1.781170483460559
2023-03-21,40.7,41.2,40.4,40.55,13913030,40.339999999999996,40.575,40.08,,,,40.24342854915322,39.715895209074255,57.23786810764609,0.5275333400789677,0.5963788062413983,-0.06884546616243059,40.08,42.287804339156864,37.87219566084313,37.63440860215049,38.168118231264906,1.5895517251508762,3.575989782886335
2023-03-22,40.9,41.2,40.0,40.05,11649526,40.22,40.32,40.1825,,,,40.21367031082196,39.74064371210579,54.12724307874156,0.47302659871616726,0.5717083647363521,-0.09868176602018486,40.1825,42.17430194798576,38.190698052014234,26.881720430107492,33.14059646987216,1.5617266019258138,-2.197802197802212
2023-03-23,39.85,40.0,38.95,38.95,16636882,39.95,40.114999999999995,40.0625,,,,40.01925949377243,39.682077511209066,47.95295421015645,0.33718198256336507,0.5248030883017547,-0.18762110573838964,40.0625,42.047663721207876,38.077336278792124,3.2258064516130216,22.580645161290338,1.5287461303596839,-5.575757575757567
2023-03-24,39.1,39.4,38.4,39.15,11898858,39.739999999999995,40.07,40.0575,,,,39.885527263961286,39.64266436223062,49.09004654253656,0.2428629017306676,0.46841505098753733,-0.22555214925686973,40.0575,42.051309168401,38.063690831599,14.85148514851484,14.986337343411785,1.4909785496197066,-8.098591549295787
2023-03-27,39.35,39.95,39.0,39.0,7931848,39.54,39.93,40.0625,,,,39.74929230027493,39.59505959465798,48.23882556132596,0.15423270561694835,0.40557858191341956,-0.2513458762964712,40.0625,42.04514343743394,38.07985656256606,11.881188118811899,9.986159906313253,1.4523372246468707,-4.878048780487809
2023-03-28,39.1,39.25,38.0,38.25,10773636,39.08,39.71,40.075,,,,39.51863194638648,39.49542555060924,44.11943034850325,0.02320639577723682,0.32910414468618304,-0.3058977489089462,40.075,42.008002845316035,38.14199715468397,5.813953488372097,10.848875585232946,1.4378845657435229,-3.409090909090917
2023-03-29,38.4,38.75,38.0,38.2,5022945,38.71,39.465,40.0,,,,39.31576549309625,39.399468102415966,43.8505831398975,-0.0837026093197153,0.2465427938850034,-0.3302454032047187,40.0,42.09499403340436,37.90500596659564,5.714285714285795,7.803142440489931,1.3887499539047,-5.44554455445544
2023-03-30,38.65,38.65,38.1,38.25,4310751,38.57000000000001,39.260000000000005,39.9475,,,,39.15180157108144,39.31432231705182,44.21665376517079,-0.1625207459703759,0.16473008591392754,-0.3272508318843035,39.9475,42.159393984801234,37.73560601519876,7.142857142857143,6.223698781838345,1.3288392429115068,-5.438813349814597
2023-03-31,38.2,38.8,38.2,38.55,6674493,38.45,39.095,39.917500000000004,,,,39.05921671399199,39.257705849122054,46.471618112824125,-0.1984891351300675,0.09208624170512854,-0.290575376835196,39.917500000000004,42.1873623306271,37.647637669372905,15.714285714285634,9.523809523809524,1.276779296989256,-5.166051660516613
2023-04-06,38.55,38.65,38.25,38.25,4404488,38.3,38.92,39.7825,,,,38.934721834916296,39.18306097140931,44.5329594162766,-0.24833913649301564,0.0240011660654997,-0.2723403025585153,39.7825,42.11107789219083,37.45392210780917,7.142857142857143,9.999999999999973,1.2141522043471662,-5.0868486352357305
2023-04-07,38.55,38.9,38.4,38.8,4998678,38.410000000000004,38.745,39.66,,,,38.91399539877533,39.15468608463825,48.75382153907927,-0.24069068586292275,-0.028937204320184793,-0.21175348154273796,39.66,41.923757937589585,37.39624206241041,23.88059701492528,15.579246624022685,1.1738556183223685,-3.4825870646766344
2023-04-10,39.0,39.4,38.8,38.9,6491480,38.55,38.63,39.475,,,,38.9118422605022,39.13582044873912,49.50618270210286,-0.22397818823692006,-0.06794540110353185,-0.1560327871333882,39.475,41.31198121928338,37.63801878071662,26.865671641790993,19.29637526652447,1.1328659312993423,-2.750000000000008
2023-04-11,39.2,39.95,39.0,39.1,10775339,38.72,38.644999999999996,39.38,,,,38.94078960504032,39.13316708216585,51.05392079700719,-0.19237747712552533,-0.09283181630793055,-0.09954566081759478,39.38,41.083349641148246,37.67665035885176,34.375000000000014,28.373756218905427,1.1269469362065325,-3.575832305795301
2023-04-12,39.1,39.75,39.1,39.55,7933457,38.92,38.684999999999995,39.377500000000005,,,,39.03451428118797,39.164043594598006,54.437918255638905,-0.12952931341003904,-0.10017131572835225,-0.029357997681686787,39.377500000000005,41.07969710962035,37.67530289037966,48.437499999999865,36.559390547263625,1.0928792979060657,-1.2484394506866447
2023-04-13,39.7,39.85,38.5,38.7,11335317,39.010000000000005,38.654999999999994,39.292500000000004,,,,38.983050545620586,39.12966999499815,47.72584291879307,-0.14661944937756743,-0.10946094245819529,-0.03715850691937214,39.292500000000004,40.951196777593736,37.63380322240627,21.87500000000007,34.895833333333314,1.111245062341347,-0.6418485237484006
2023-04-14,38.8,38.85,38.15,38.2,6485138,38.89,38.65,39.18,,,,38.862581230909726,39.060805550924215,44.268179335240745,-0.1982243200144893,-0.1272136179694541,-0.0710107020450352,39.18,40.814441800738045,37.545558199261954,10.000000000000142,26.77083333333336,1.081870415031251,-2.4265644955300036
2023-04-17,38.25,40.9,38.25,40.45,30846946,39.2,38.875,39.17,,,,39.10679950307746,39.16370884344835,58.75066918971969,-0.05690934037088624,-0.11315276244974054,0.0562434220788543,39.17,40.770437440201846,37.56956255979816,84.4827586206898,38.785919540230005,1.1974510996718757,3.717948717948727
2023-04-18,40.7,41.35,39.65,39.65,29203280,39.31,39.015,39.1375,,,,39.19036881029631,39.199730410600324,53.4338864121904,-0.00936160030401112,-0.09239453002059467,0.08303292971658355,39.1375,40.669777716342516,37.60522228365749,49.25373134328352,47.91216332132449,1.2333474496953134,3.6601307189542354
2023-04-19,40.1,43.6,40.1,43.6,67641813,40.120000000000005,39.519999999999996,39.3075,,,,39.86877360871227,39.525676306111414,68.56195353777458,0.343097302600853,-0.00529616349630513,0.34839346609715816,39.3075,41.754799532137376,36.86020046786262,100.0,77.91216332132444,1.4273940604313626,14.136125654450261
2023-04-20,44.25,46.25,43.85,44.1,159160657,41.2,40.105,39.5125,,,,40.51973151506423,39.86451509825131,69.89518926461011,0.6552164168129195,0.12680635256553982,0.5284100642473797,39.5125,42.72480057746778,36.30019942253222,73.93939393939395,74.39770842755917,1.5147230561148366,15.294117647058837
2023-04-21,44.75,45.8,42.05,43.6,113190224,42.28,40.585,39.665,,,,40.99361897428512,40.141217683566026,66.84245859033163,0.8524012907190937,0.2719253401962506,0.5804759505228431,39.665,43.319052544778174,36.010947455221824,67.48466257668713,80.47468550536037,1.674385694963777,13.099870298313899
2023-04-24,43.9,45.5,43.15,45.5,54343358,43.29,41.245,39.9375,,,,41.68690836285664,40.53816452182039,71.87023139974102,1.14874384103625,0.4472890403642505,0.7014548006719996,39.9375,44.391136154873884,35.483863845126116,90.74074074074073,77.38826575227394,1.7226438596092217,18.954248366013072
2023-04-25,44.85,45.25,42.0,43.0,69814964,43.96,41.635000000000005,40.14,,,,41.888922460878696,40.72052270538925,59.15905746548876,1.168399755489446,0.5915111833892897,0.5768885721001564,40.14,44.76077915507762,35.51922084492238,59.876543209876544,72.7006488424348,1.8495978696371345,10.824742268041243
2023-04-26,42.55,43.4,41.25,42.75,32537008,43.79,41.955,40.32,,,,42.02139592843582,40.870854356841896,58.0533291486233,1.1505415715939264,0.7033172610302171,0.44722431056370937,40.32,45.051638194114155,35.588361805885846,56.79012345679013,69.13580246913581,1.8710551646630533,9.89717223650386
2023-04-27,42.9,44.05,42.2,43.45,35313594,43.660000000000004,42.43,40.542500000000004,,,,42.24118117021493,41.061902182261015,60.29130557941949,1.1792789879539143,0.7985096064149566,0.3807693815389577,40.542500000000004,45.42115504006995,35.66384495993006,65.43209876543214,60.699588477366284,1.8695512243299777,11.125319693094626
2023-04-28,44.1,44.6,42.3,42.3,46177891,43.4,42.839999999999996,40.745,,,,42.250230220951096,41.15361313172316,55.091062526268125,1.0966170892279337,0.858131102977552,0.23848598625038164,40.745,45.562042661218584,35.92795733878141,51.23456790123454,57.81893004115227,1.9002975654492653,6.953223767383054
2023-05-02,43.15,43.45,42.7,43.2,21692127,42.940000000000005,43.114999999999995,40.995000000000005,,,,42.39634864849708,41.305197344188116,58.13443601225632,1.0911513043089656,0.9047351432438347,0.18641616106513081,40.995000000000005,45.776621064032554,36.213378935967455,62.34567901234573,59.67078189300414,1.8467048822028898,11.627906976744185
2023-05-03,43.25,43.4,42.1,42.1,17899569,42.760000000000005,43.36,41.1875,,,,42.3507565487283,41.364071614988994,53.37359390097638,0.9866849337393049,0.9211251013429288,0.06555983239637608,41.1875,45.81922484070457,36.55577515929543,48.76543209876546,54.115226337448576,1.8076545334741119,10.209424083769637
2023-05-04,41.9,42.4,41.5,42.25,19237688,42.660000000000004,43.225,41.3725,39.86333333333334,,,42.33525554123164,41.429695939804624,53.92767546134339,0.9055596014270151,0.9180120013597461,-0.012452399932731062,41.3725,45.861428045758785,36.88357195424122,50.61728395061729,53.909465020576164,1.7428220667973895,4.449938195302838
2023-05-05,42.05,42.3,41.2,41.7,19465837,42.31,42.985,41.545,39.925,,,42.237523919503694,41.44971846278206,51.510577308707205,0.7878054567216353,0.891970692432124,-0.10416523571048875,41.545,45.79975028644453,37.290249713555475,43.125000000000036,47.50257201646093,1.69690620488329,5.170239596469117
