strategy,status,final_value,return_pct,sharpe,max_drawdown_pct,total_return_pct,norm_return_pct,trades_total,trades_won,trades_lost,win_rate_pct
BBandsStrategy,ok,1286850.9379833245,28.68509379833246,17.725198918430003,13.460599523160074,25.219810060340652,29.076702143688028,4,4,0,100.0
BuyHoldStrategy,ok,1274340.8173076923,27.434081730769222,0.4467065445560804,36.45985255738077,24.242903888350543,27.806839364465592,1,0,0,0.0
CrossSMAStrategy,ok,1219880.3904331243,21.988039043312433,0.40684885756363254,31.507193475259687,19.8752813310282,22.280503120174906,5,0,4,0.0
DoubleTopStrategy,ok,1000000.0,0.0,,0.0,0.0,0.0,0,0,0,
MACDStrategy,ok,892980.63525209,-10.701936474790996,-1.1868820661299113,12.632060104378587,-11.319038338881352,-10.823632776662341,2,0,2,0.0
MomentumStrategy,ok,1212115.9243312764,21.211592433127645,0.4018885458516047,36.24860689966191,19.236753021124372,21.492848052935663,33,11,21,33.33333333333333
NaiveROCStrategy,ok,1229406.3463835174,22.940634638351742,0.4168630458906222,30.045015711219296,20.653140765698065,23.24693246091389,3,0,2,0.0
NaiveSMAStrategy,ok,994796.2836529668,-0.5203716347033205,0.21435339871490558,44.145024444912025,-0.5217302832918549,-0.5266246351228223,19,2,16,10.526315789473683
RiskAverseStrategy,ok,1165046.6057692308,16.50466057692308,0.8788221065996101,4.158771153846162,15.276109116961658,16.71928427719822,1,1,0,100.0
ROCMAStrategy,ok,1236734.179429336,23.673417942933604,0.42374786525879954,30.560901266630562,21.247417899157657,23.990418796186137,5,0,4,0.0
ROCStochStrategy,ok,1553146.8776824034,55.31468776824033,0.674401336639465,24.2600943772674,44.02831164377894,56.140761589452005,1,0,0,0.0
RsiBollingerBandsStrategy,ok,1164383.8805367122,16.438388053671215,1.488202481016295,11.712059888253298,15.219208921459357,16.652089962622174,2,2,0,100.0
RSIStrategy,ok,1160730.405,16.0730405,0.42950166373266135,23.089489493985077,14.904946644867445,16.281669031178055,1,1,0,100.0
RSRSStrategy,ok,1236934.488831615,23.693448883161516,0.4211095173298626,37.003057815020846,21.26361322921839,24.01074305496091,1,0,0,0.0
TripleRsiStrategy,ok,1170241.685483871,17.02416854838711,0.8825199601193161,0.0,15.721029626690342,17.24603407217986,1,0,0,0.0
TurtleTradingStrategy,ok,1097984.340875,9.798434087500008,0.27500580563917365,19.035068014999993,9.347608148746431,9.922160702272105,5,0,4,0.0
VCPStrategy,ok,1000000.0,0.0,,0.0,0.0,0.0,0,0,0,
AlphaRSIProStrategy,ok,1000000.0,0.0,,0.0,0.0,0.0,0,0,0,
AdaptiveRSIStrategy,ok,1170241.685483871,17.02416854838711,0.3763176943845262,37.524218548387104,15.721029626690342,17.24603407217986,1,0,0,0.0
HybridAlphaRSIStrategy,ok,1000000.0,0.0,,0.0,0.0,0.0,0,0,0,
